# The Reference Fusion gene pairs ====> COSMIC,ChimerDB,TICdb,CobjoinG,FareCafe 
# The Gene sequence of Fusion gene pairs ======> Ensembl 
# Updated: 2018.12.26 
PTGR2-ZNF410	PTGR2	ZNF410
P2RX5-TAX1BP3	P2RX5	TAX1BP3
AIFM3-LZTR1	AIFM3	LZTR1
MUSTN1-ITIH4	MUSTN1	ITIH4
XPR1-KIAA1614	XPR1	KIAA1614
RBM7-REXO2	RBM7	REXO2
FXYD6-FXYD2	FXYD6	FXYD2
EFEMP2-CFL1	EFEMP2	CFL1
ZC3H10-ESYT1	ZC3H10	ESYT1
FLVCR2-TTLL5	FLVCR2	TTLL5
DPEP2-DPEP3	DPEP2	DPEP3
ZNF607-ZNF781	ZNF607	ZNF781
ZFP30-ZNF781	ZFP30	ZNF781
TP53RK-SLC13A3	TP53RK	SLC13A3
WDR49-SERPINI2	WDR49	SERPINI2
RFT1-SFMBT1	RFT1	SFMBT1
BRK1-VHL	BRK1	VHL
MOB1B-DCK	MOB1B	DCK
HLA_DMA-HLA_DMB	HLA_DMA	HLA_DMB
PNRC1-PM20D2	PNRC1	PM20D2
GALT-IL11RA	GALT	IL11RA
TNFSF12-TNFSF13	TNFSF12	TNFSF13
PEX26-TUBA8	PEX26	TUBA8
MROH7-TTC4	MROH7	TTC4
FPGT-TNNI3K	FPGT	TNNI3K
RNPC3-AMY2B	RNPC3	AMY2B
DHTKD1-SEC61A2	DHTKD1	SEC61A2
CORO7-PAM16	CORO7	PAM16
FBF1-MRPL38	FBF1	MRPL38
ZNF559-ZNF177	ZNF559	ZNF177
ZNF8-ERVK3_1	ZNF8	ERVK3_1
ATG9A-ABCB6	ATG9A	ABCB6
UBE2F-SCLY	UBE2F	SCLY
CCDC142-MRPL53	CCDC142	MRPL53
ISY1-RAB43	ISY1	RAB43
CFAP206-SLC35A1	CFAP206	SLC35A1
ATP6V1G2-DDX39B	ATP6V1G2	DDX39B
PIR-VEGFD	PIR	VEGFD
SRP9-EPHX1	SRP9	EPHX1
MICOS10-NBL1	MICOS10	NBL1
MED8-ELOVL1	MED8	ELOVL1
ACADM-RABGGTB	ACADM	RABGGTB
ANKRD35-PIAS3	ANKRD35	PIAS3
IRF6-C1orf74	IRF6	C1orf74
S100A3-S100A4	S100A3	S100A4
COMMD3-BMI1	COMMD3	BMI1
ENTPD7-CUTC	ENTPD7	CUTC
SDHAF2-PPP1R32	SDHAF2	PPP1R32
NDUFC2-KCTD14	NDUFC2	KCTD14
UBE4A-ATP5MG	UBE4A	ATP5MG
ZBED5-EIF4G2	ZBED5	EIF4G2
COX8A-OTUB1	COX8A	OTUB1
APLP2-ST14	APLP2	ST14
CHRNA10-NUP98	CHRNA10	NUP98
SARNP-DNAJC14	SARNP	DNAJC14
ZNF664-RFLNA	ZNF664	RFLNA
CHURC1-FNTB	CHURC1	FNTB
RDH11-VTI1B	RDH11	VTI1B
SNUPN-PTPN9	SNUPN	PTPN9
ITFG1-NETO2	ITFG1	NETO2
MPV17L-C16orf45	MPV17L	C16orf45
RAB5C-KAT2A	RAB5C	KAT2A
IER3IP1-HDHD2	IER3IP1	HDHD2
NDUFV2-ANKRD12	NDUFV2	ANKRD12
UQCR11-MBD3	UQCR11	MBD3
ZNF649-ZNF577	ZNF649	ZNF577
SNRNP27-MXD1	SNRNP27	MXD1
IL1RL1-IL18R1	IL1RL1	IL18R1
PDIA5-SEC22A	PDIA5	SEC22A
RAD54L2-TEX264	RAD54L2	TEX264
TUSC2-HYAL2	TUSC2	HYAL2
ZKSCAN7-ZNF660	ZKSCAN7	ZNF660
KLHL3-SPOCK1	KLHL3	SPOCK1
CNPY3-GNMT	CNPY3	GNMT
OARD1-UNC5CL	OARD1	UNC5CL
